Date,Description,Amount
2025-07-01,Walmart Superstore,-120.50
2025-07-02,Salary Deposit,3000.00
2025-07-03,Netflix Subscription,-15.99
2025-07-04,McDonald's,-8.50
2025-07-05,Uber Ride,-12.75
2025-07-06,Amazon Purchase,-45.00
2025-07-07,Gym Membership,-40.00
2025-07-08,Freelance Payment,500.00
2025-07-09,Starbucks,-6.25
2025-07-10,Electricity Bill,-60.00
2025-07-11,Rent Payment,-950.00
2025-07-12,Spotify Subscription,-9.99
2025-07-13,Public Transport,-2.75
2025-07-14,Domino's Pizza,-13.20
2025-07-15,Internet Bill,-50.00
